bblid,scanid,idemoBehAllEmoCorrectAverage,idemoBehAllEmoCorrectCount,idemoBehAllEmoCorrectMedian,idemoBehAllEmoCorrectStddev,idemoBehAllEmoIncorrectAverage,idemoBehAllEmoIncorrectCount,idemoBehAllEmoIncorrectMedian,idemoBehAllEmoIncorrectStddev,idemoBehAllEmoNrCount,idemoBehAngerCorrectAverage,idemoBehAngerCorrectCount,idemoBehAngerCorrectMedian,idemoBehAngerCorrectStddev,idemoBehAngerIncorrectAverage,idemoBehAngerIncorrectCount,idemoBehAngerIncorrectMedian,idemoBehAngerIncorrectStddev,idemoBehAngerNrCount,idemoBehFearCorrectAverage,idemoBehFearCorrectCount,idemoBehFearCorrectMedian,idemoBehFearCorrectStddev,idemoBehFearIncorrectAverage,idemoBehFearIncorrectCount,idemoBehFearIncorrectMedian,idemoBehFearIncorrectStddev,idemoBehFearNrCount,idemoBehHappyCorrectAverage,idemoBehHappyCorrectCount,idemoBehHappyCorrectMedian,idemoBehHappyCorrectStddev,idemoBehHappyIncorrectAverage,idemoBehHappyIncorrectCount,idemoBehHappyIncorrectMedian,idemoBehHappyIncorrectStddev,idemoBehHappyNrCount,idemoBehNoECorrectAverage,idemoBehNoECorrectCount,idemoBehNoECorrectMedian,idemoBehNoECorrectStddev,idemoBehNoEIncorrectAverage,idemoBehNoEIncorrectCount,idemoBehNoEIncorrectMedian,idemoBehNoEIncorrectStddev,idemoBehNoENrCount,idemoBehSadCorrectAverage,idemoBehSadCorrectCount,idemoBehSadCorrectMedian,idemoBehSadCorrectStddev,idemoBehSadIncorrectAverage,idemoBehSadIncorrectCount,idemoBehSadIncorrectMedian,idemoBehSadIncorrectStddev,idemoBehSadNrCount,idemoBehNonthreatCorrectAverage,idemoBehNonthreatCorrectCount,idemoBehNonthreatCorrectMedian,idemoBehNonthreatCorrectStddev,idemoBehNonthreatIncorrectAverage,idemoBehNonthreatIncorrectCount,idemoBehNonthreatIncorrectMedian,idemoBehNonthreatIncorrectStddev,idemoBehNonthreatNrCount,idemoBehThreatAllNrCount,idemoBehThreatCorrectAverage,idemoBehThreatCorrectCount,idemoBehThreatCorrectMedian,idemoBehThreatCorrectStddev,idemoBehThreatIncorrectAverage,idemoBehThreatIncorrectCount,idemoBehThreatIncorrectMedian,idemoBehThreatIncorrectStddev
81098,2653,2512.9246,53,2276.7,905.8631,3169.5857,7,3282.9,878.90625,0,2653.72,10,2371.1,739.02795,3092.35,2,3092.35,269.4783,0,2377.318,11,2137.4,930.4966,2706.4,1,2706.4,0,0,2037.8,12,1800.95,832.0748,0,0,0,0,0,2545.9456,11,2039.4,1037.4553,4521.7,1,4521.7,0,0,3115.3667,9,2967.8,735.70105,2924.7666,3,3440.2,1078.8291,0,2499.6143,21,2437.2,946.507,2924.7666,3,3440.2,1078.8291,0,0,2508.938,21,2276.7,835.87915,2963.7,3,2901.8,293.19235
81162,3427,1845.8035,58,1746.15,514.3909,2807.2002,2,2807.2002,1744.9982,0,2142.682,11,1933.5,531.3666,1573.3,1,1573.3,0,0,1821.9728,11,1880.8,365.4255,4041.1,1,4041.1,0,0,1543.3417,12,1574.55,388.21494,0,0,0,0,0,1643.8833,12,1646.6001,415.46252,0,0,0,0,0,2099.8916,12,1900.6499,605.2172,0,0,0,0,0,1821.6167,24,1673.25,572.76874,0,0,0,0,0,0,1982.3273,22,1907.15,474.31964,2807.2002,2,2807.2002,1744.9982
81222,3184,2336.4214,56,2252.2002,744.1616,3559.3,4,3721.8,799.57574,0,2735.078,9,2912,594.10767,3299.5334,3,3583.3,744.38544,0,2585.8418,12,2379.8,936.4018,0,0,0,0,0,1900.2667,12,1973.5,475.91702,0,0,0,0,0,2369.0583,12,2405.25,829.1951,0,0,0,0,0,2178.3545,11,1962.4,564.51154,4338.6,1,4338.6,0,0,2033.2653,23,1962.4,527.5166,4338.6,1,4338.6,0,0,0,2649.8,21,2569.9,793.20807,3299.5334,3,3583.3,744.38544
81231,5901,2514.3655,52,2385,980.0994,3385.9333,6,3629.7,1262.1309,2,2322.4727,11,2374.7,845.98785,3516.2,1,3516.2,0,0,2931.1,8,3061.1,1562.706,4504.3,2,4504.3,1076.3579,2,2679.475,12,2488.65,966.5821,0,0,0,0,0,2310.9272,11,2309.4,880.3952,3797.2,1,3797.2,0,0,2417.71,10,2442.2998,670.05615,1996.7999,2,1996.7999,509.25827,0,2560.491,22,2488.65,836.42145,1996.7999,2,1996.7999,509.25827,0,2,2578.7368,19,2376.7,1201.0868,4174.933,3,3743.2,951.1679
81287,2738,2286.1482,58,2292.2,690.17883,3535.25,2,3535.25,1544.8163,0,2121.0667,12,2186.8,576.11835,0,0,0,0,0,2661.66,10,2585.15,566.2946,3535.25,2,3535.25,1544.8163,0,2015.5417,12,2242.45,530.992,0,0,0,0,0,2164.5334,12,2154.3,780.58594,0,0,0,0,0,2530.525,12,2483.5498,814.6734,0,0,0,0,0,2273.0334,24,2307.0498,722.1148,0,0,0,0,0,0,2366.791,22,2369.85,622.2572,3535.25,2,3535.25,1544.8163
81323,3742,1996.8649,57,1937.2,537.6193,2049.6333,3,1848.2,527.71704,0,1885.6818,11,1915.1,224.64166,1848.2,1,1848.2,0,0,2081.7917,12,2024.45,703.8393,0,0,0,0,0,1810.375,12,1911.2,306.79398,0,0,0,0,0,2157.1084,12,1994.95,792.57806,0,0,0,0,0,2048.75,10,2064.8,381.77243,2150.35,2,2150.35,704.34894,0,1918.7273,22,1929.35,355.70462,2150.35,2,2150.35,704.34894,0,0,1988,23,1931.9,529.779,1848.2,1,1848.2,0
81353,3141,2419.6963,55,2198.9,876.65735,3616.0667,3,3544.8,1660.0477,2,2271.682,11,2047.3,546.9983,3544.8,1,3544.8,0,0,2699.6545,11,2265.5,1072.3145,0,0,0,0,1,1890.4,12,1720.05,421.06754,0,0,0,0,0,2218.125,12,2185.3,667.97577,0,0,0,0,0,3232.922,9,3064.1,1075.11,3651.7002,2,3651.7002,2346.0388,1,2465.7666,21,2250.5,1011.5947,3651.7002,2,3651.7002,2346.0388,1,1,2485.6682,22,2157.95,859.0703,3544.8,1,3544.8,0
81407,7819,2421.3945,56,2215.35,1048.0813,2185.175,4,1956.3999,970.1968,0,2481.5454,11,2011.5,1128.3289,3488.8,1,3488.8,0,0,2694.7273,11,2237.7,1379.7411,2346.2,1,2346.2,0,0,2364.5,11,2248.8,726.4232,1566.6,1,1566.6,0,0,1955.5454,11,1943.2,659.0779,1339.1,1,1339.1,0,0,2594.8833,12,2257.5498,1182.5112,0,0,0,0,0,2484.7,23,2251.2,976.15155,1566.6,1,1566.6,0,0,0,2588.1362,22,2215.35,1234.7753,2917.5,2,2917.5,807.9403
81456,6851,1986.9966,59,1800.3,849.40045,2916.8,1,2916.8,0,0,2048.675,12,2161.3,650.3072,0,0,0,0,0,2358.9666,12,2114.85,978.50214,0,0,0,0,0,1729.2916,12,1553.15,716.73584,0,0,0,0,0,1922.9667,12,1627.75,1185.7119,0,0,0,0,0,1864.909,11,2007.3,531.9717,2916.8,1,2916.8,0,0,1794.1522,23,1695,624.72925,2916.8,1,2916.8,0,0,0,2203.8208,24,2122.25,827.8235,0,0,0,0
81462,6563,2099.99,50,1901.25,705.04254,2563.8599,10,2636.1,856.5837,0,2364.0273,11,2168.2,816.39606,2172.6,1,2172.6,0,0,2427.9126,8,2400.45,448.27722,2236.8,4,2318.45,957.7067,0,1757.9,12,1713,418.5601,0,0,0,0,0,1637.2333,12,1570.45,522.55096,0,0,0,0,0,2690.043,7,2810.1,743.45953,2903.76,5,2994.4,820.5786,0,2101.321,19,1931.6,710.43494,2903.76,5,2994.4,820.5786,0,0,2390.9263,19,2356.7,670.43085,2223.96,5,2172.6,829.89514
