bblid,scanid,idemoExclude,idemoExcludeVoxelwise,idemoNoDataExclude,idemoRelMeanRMSMotion,idemoRelMeanRMSMotionExclude,idemoRelMaxRMSMotion,idemoRelMaxRMSMotionExclude,idemoNormCrossCorr,idemoNormCoverage,idemoCoregCrossCorr,idemoCoregCoverage,idemoVoxelwiseCoverageExclude,idemoMeanActivationExclude,idemoRpsMapCorrectionNotApplied
82155,3043,0,0,0,0.0463007,0,0.238613,0,0.83439714,0.9730954103,0.81842242,0.973358639,0,0,0
84511,3044,0,0,0,0.0982393,0,3.37184,0,0.84719504,0.9956186993,0.82905147,0.9955048988,0,0,0
83328,3045,1,1,1,NA,0,NA,0,NA,NA,NA,NA,0,0,0
85392,3048,0,0,0,0.0412026,0,0.134687,0,0.84130567,0.9901899273,0.82135202,0.9913087222,0,0,0
83429,3075,0,0,0,0.0605572,0,0.641926,0,0.84621167,0.9774182229,0.82859719,0.9801592973,0,0,0
81855,3076,0,0,0,0.0230209,0,0.0923258,0,0.84469791,0.9968735378,0.82029413,0.9972409733,0,0,0
83972,3081,0,0,0,0.0291901,0,0.152576,0,0.84199528,0.9807733209,0.81940013,0.9822102665,0,0,0
84735,3083,0,0,0,0.0856605,0,0.324379,0,0.84805435,0.9995852653,0.81959453,0.9995681445,0,0,0
81760,3085,0,0,0,0.028747,0,0.141459,0,0.84342559,0.9968575865,0.81068381,0.9966473915,0,0,0
87696,3086,0,0,0,0.0473405,0,0.15854,0,0.84862548,0.992019014,0.81933301,0.9920056569,0,0,0
85139,3088,0,0,0,0.0719237,0,0.825511,0,0.84202822,0.9966289507,0.81688765,0.9958113003,0,0,0
86435,3090,1,1,0,0.530557,1,4.66233,0,0.87241641,0.9946243992,0.84914829,0.9960964868,1,0,0
86460,3091,0,0,0,0.0366908,0,0.206977,0,0.83926146,0.9978518866,0.81960311,0.9985742115,0,0,0
82039,3112,0,0,0,0.145881,0,1.45502,0,0.8578831,0.9953953805,0.8347234,0.996453469,0,0,0
83987,3113,0,0,0,0.0586763,0,0.307683,0,0.84760801,0.9933004382,0.82616144,0.9956353001,0,0,0
87045,3115,0,0,0,0.0339036,0,0.110768,0,0.83060498,0.9929920456,0.80116033,0.9933552404,0,0,0
83648,3116,0,0,0,0.0323485,0,0.173936,0,0.84815273,0.9966768047,0.82663304,0.996890592,0,0,0
86633,3117,0,0,0,0.0375746,0,0.172778,0,0.85419386,0.9950019142,0.82688982,0.994750221,0,0,0
82063,3118,0,1,0,0.085781,0,1.5606,0,0.8387283,0.9403260454,0.80428878,0.9360023507,1,0,0
87282,3122,1,1,1,NA,0,NA,0,NA,NA,NA,NA,0,0,1
84535,3124,0,1,0,0.190316,0,1.8611,0,0.84954595,0.9955761624,0.82657334,0.9965262642,1,0,0
82914,3125,0,0,0,0.0988441,0,1.21169,0,0.84620337,0.9969001234,0.83436626,0.9977007726,0,0,0
83207,3138,0,0,0,0.0225096,0,0.0555823,0,0.85126247,0.991072568,0.82054541,0.9927654896,0,0,0
87548,3139,0,0,0,0.0304646,0,0.0962616,0,0.83684375,0.9942787869,0.80920099,0.9959310534,0,0,0
81353,3141,0,0,0,0.0383129,0,0.167438,0,0.85326917,0.9908652006,0.82131491,0.9919731429,0,0,0
87804,3144,0,0,0,0.0744715,0,0.435164,0,0.84389353,0.9899240717,0.82123269,0.9900247481,0,0,0
80265,3145,0,0,0,0.0412971,0,0.251259,0,0.84879564,0.9878184951,0.83385752,0.9910683037,0,0,0
85057,3146,0,0,0,0.0286141,0,0.216147,0,0.85400309,0.9909449573,0.82383795,0.9917804161,0,0,0
86514,3152,0,0,0,0.0494192,0,0.623943,0,0.83472164,0.9933961462,0.80994256,0.994522101,0,0,0
85862,3153,0,0,0,0.0356251,0,0.307583,0,0.83954979,0.9959749458,0.80652545,0.9961635419,0,0,0
84758,3178,0,0,0,0.0676033,0,0.477869,0,0.85007696,0.9961025565,0.82952478,0.9961332546,0,0,0
81528,3179,0,0,0,0.0433734,0,0.372378,0,0.83894761,0.9902484156,0.81131876,0.9917723131,0,0,0
85812,3183,0,0,0,0.161324,0,2.20647,0,0.85054603,0.9966714876,0.82553068,0.9977410341,0,0,0
81222,3184,0,0,0,0.0250893,0,0.199847,0,0.84758673,0.9934865371,0.8189288,0.994154221,0,0,0
88137,3187,1,1,1,NA,0,NA,0,NA,NA,NA,NA,0,0,0
85464,3189,0,0,0,0.07371,0,0.342444,0,0.83616619,0.990551491,0.81322084,0.9916324263,0,0,0
87144,3190,0,0,0,0.176204,0,1.84001,0,0.85610252,0.9951773789,0.82741754,0.9966890737,0,0,0
82935,3201,1,1,1,NA,0,NA,0,NA,NA,NA,NA,0,0,0
86990,3202,0,0,0,0.0463298,0,0.391576,0,0.83608468,0.9952624527,0.81168836,0.9963262348,0,0,0
88190,3209,0,0,0,0.0309225,0,0.157475,0,0.83605993,0.9987823813,0.81785144,0.9991871563,0,0,0
87947,3210,0,0,0,0.169332,0,2.23285,0,0.84783379,0.9707399294,0.82526672,0.9769231407,0,0,0
82790,3211,0,0,0,0.0628837,0,0.531668,0,0.85128841,0.9942468842,0.82595903,0.9954006236,0,0,0
89053,3212,0,0,0,0.049763,0,0.448126,0,0.861221,0.9967725127,0.82999572,0.997180914,0,0,0
87048,3213,0,0,0,0.0541621,0,0.546514,0,0.83393692,0.9933748778,0.81680618,0.9953604859,0,0,0
85632,3214,0,0,0,0.102806,0,0.789286,0,0.85645708,0.98294802,0.82682335,0.9856053,0,0,0
88013,3216,0,0,0,0.0845537,0,0.97369,0,0.84856671,0.9960653367,0.82120082,0.9957528048,0,0,0
85083,3224,0,0,0,0.341083,0,4.17044,0,0.85254183,0.9948530351,0.82538017,0.9961135392,0,0,0
87209,3225,0,0,0,0.0351411,0,0.266886,0,0.83651202,0.9939119061,0.81313108,0.9943505161,0,0,0
85173,3226,0,0,0,0.0764122,0,0.701488,0,0.83707513,0.9638649029,0.80438169,0.964982219,0,0,0
88621,3230,0,0,0,0.193454,0,2.85849,0,0.84037217,0.9933536093,0.81796168,0.995230876,0,0,0
86126,3231,0,0,0,0.038384,0,0.33739,0,0.84009005,0.9969426603,0.81647121,0.9973759683,0,0,0
86924,3232,0,0,0,0.0600153,0,0.377372,0,0.83447043,0.9996012166,0.81596943,0.9998988715,0,0,0
87344,3233,0,0,0,0.0196512,0,0.0575002,0,0.84826686,0.9977987154,0.81872299,0.9982429523,0,0,0
85547,3234,1,1,1,NA,0,NA,0,NA,NA,NA,NA,0,0,1
88867,3235,0,0,0,0.085863,0,0.594153,0,0.84424412,0.9986494535,0.81848026,0.9991895619,0,0,0
89115,3239,0,0,0,0.347804,0,3.26062,0,0.85886756,0.9967299758,0.83149064,0.996415836,0,0,0
88770,3245,0,0,0,0.0476484,0,0.242426,0,0.84309076,0.9938800035,0.82130381,0.9954848264,0,0,0
87670,3246,0,0,0,0.0365601,0,0.111956,0,0.84031404,0.9954060148,0.8191962,0.9964559981,0,0,0
87530,3248,0,0,0,0.145539,0,2.18067,0,0.85720146,0.9943425922,0.82449694,0.9949797034,0,0,0
85159,3281,0,0,0,0.0429435,0,0.168789,0,0.84191478,0.9965279255,0.82209149,0.9972620916,0,0,0
88055,3282,0,0,0,0.0845436,0,0.702513,0,0.84084993,0.9938215152,0.81574754,0.9944617012,0,0,0
86506,3284,0,0,0,0.0268109,0,0.183469,0,0.84861315,0.9941139564,0.82512884,0.9954759148,0,0,0
85765,3290,0,0,0,0.051925,0,0.687688,0,0.84496894,0.9941192735,0.81659635,0.9949314477,0,0,0
87905,3291,0,0,0,0.0387439,0,0.136925,0,0.83011391,0.9921147221,0.80174163,0.9923264995,0,0,0
88547,3293,0,0,0,0.0344534,0,0.21416,0,0.84376659,0.9960493854,0.81836538,0.9967106292,0,0,0
88305,3295,0,0,0,0.0412062,0,0.279818,0,0.8398645,0.9970809052,0.82486855,0.998085025,0,0,0
88241,3296,0,0,0,0.0945293,0,0.496447,0,0.84432167,0.9959217747,0.82233268,0.9961885112,0,0,0
82293,3297,0,1,0,0.0724569,0,0.48687,0,0.81869399,0.9521406696,0.79326367,0.9528807248,1,0,0
85412,3308,0,0,0,0.0617883,0,0.327117,0,0.84530729,0.9937789783,0.81268092,0.9941969977,0,0,0
82217,3309,0,0,0,0.115135,0,1.43803,0,0.86691844,0.992821898,0.83524806,0.9928250509,0,0,1
89716,3313,0,0,0,0.131356,0,2.42496,0,0.8464014,0.9980539368,0.82829639,0.9988997284,0,0,0
88395,3314,1,1,1,NA,0,NA,0,NA,NA,NA,NA,0,0,1
85063,3316,0,0,0,0.0312859,0,0.274523,0,0.84869787,0.9908811519,0.82323328,0.9912604383,0,0,0
85980,3320,0,0,0,0.0502731,0,0.759974,0,0.84742125,0.9980007657,0.81461712,0.9986880288,0,0,0
90666,3321,0,0,0,0.0567161,0,0.177288,0,0.8419261,0.9981709133,0.82313388,0.9987066689,0,0,0
90613,3322,0,0,0,0.0561019,0,0.44631,0,0.85078456,0.9954910886,0.8243426,0.9969545015,0,0,0
85960,3323,0,0,0,0.0439734,0,0.178285,0,0.85042699,0.994709473,0.82093725,0.9956425711,0,0,0
82281,3325,0,0,0,0.0369358,0,0.11659,0,0.83996453,0.9978891063,0.82119734,0.9984609963,0,0,0
86707,3326,0,0,0,0.0289755,0,0.169628,0,0.84605591,0.9939172232,0.81744187,0.9945283531,0,0,0
89557,3327,0,0,0,0.275351,0,5.04139,0,0.84384745,0.9978465694,0.81543443,0.9984109775,0,0,0
82962,3340,0,1,0,0.122344,0,1.26926,0,0.86602174,0.9875898593,0.83347294,0.9877982225,1,0,0
88869,3341,0,0,0,0.0277599,0,0.0876367,0,0.85489325,0.9951029393,0.81891616,0.9952912403,0,0,0
90772,3344,0,0,0,0.0311469,0,0.108976,0,0.83747063,0.9867816581,0.81935772,0.9892856818,0,0,0
85983,3345,0,0,0,0.139505,0,1.57245,0,0.85947291,0.9824588456,0.83754813,0.9845244038,0,0,0
88402,3346,0,0,0,0.0387521,0,0.132061,0,0.83471927,0.9983304267,0.81151814,0.9987495113,0,0,0
86921,3350,0,0,0,0.0819536,0,1.69242,0,0.86492108,0.9959908972,0.84072732,0.9966524889,0,0,0
